attempt_id	execution_stage	repeat_id	device	case_id	corpus_partition	case_class	execution_tier	source_kind	query_sha256	reference_sha256	pair_digest	query_length	reference_length	expected_status	observed_status	numeric_path	cpu_score1	reducer_score1	gpu_score1	cpu_ref_end1	reducer_ref_end1	gpu_ref_end1	cpu_read_end1	gpu_read_end1	cpu_score2	reducer_score2	gpu_score2	cpu_ref_end2	reducer_ref_end2	gpu_ref_end2	reducer_equal	gpu_equal	column_equal	cpu_column_digest	gpu_column_digest	cpu_endpoint_digest	reducer_endpoint_digest	gpu_endpoint_digest	cpu_endpoint_calls	driver_returncode	formal_contract
p6-primary-tiny	primary	0	0	tiny-ac-q02-r02	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	58bb119c35513a451d24dc20ef0e9031ec85b35bfc919d263e7e5d9868909cb5	58bb119c35513a451d24dc20ef0e9031ec85b35bfc919d263e7e5d9868909cb5	7d9dc66a97eeb511fc31b78fad91ebbe4bccd25a75fc2c42157753ab87b5ff39	2	2	complete	complete	byte8	10	10	10	1	1	1	1	1	0	0	0	0	0	0	1	1	1	6433e92e3c09f78e	6433e92e3c09f78e	8dc9ad53661b3e08	8dc9ad53661b3e08	8dc9ad53661b3e08	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q02-r03	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	58bb119c35513a451d24dc20ef0e9031ec85b35bfc919d263e7e5d9868909cb5	472e73d796e20aa8ff9059e6316f218e0322548f661ec4dc267507ed66317404	508810e2787533f6b6043bf36d300363e240454441a10d19bc42e15d106f3b56	2	2	complete	complete	byte8	5	5	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	215a0901648ef4c1	215a0901648ef4c1	8a1591774f5fc227	8a1591774f5fc227	8a1591774f5fc227	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q02-r04	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	58bb119c35513a451d24dc20ef0e9031ec85b35bfc919d263e7e5d9868909cb5	4b650e5c4785025dee7bd65e3c5c527356717d7a1c0bfef5b4ada8ca1e9cbe17	3d9eab7955a13dddd3e5e4c0da4eea920df358aa40ed36b504e50ff41379ce25	2	2	complete	complete	byte8	5	5	5	1	1	1	0	0	0	0	0	0	0	0	1	1	1	87578ffe9ecfc724	87578ffe9ecfc724	eabc0c2fac53c886	eabc0c2fac53c886	eabc0c2fac53c886	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q02-r05	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	58bb119c35513a451d24dc20ef0e9031ec85b35bfc919d263e7e5d9868909cb5	a56362a10c816abf206d72cb914e2d5ca454eb9c7e744f88b1a1422c379e9942	0b924db80b724434aacbc084b023cf11b732a4a3ab7fec7badefc61d5b4fe8c7	2	2	complete	complete	byte8	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	1	1	9a5d4ea665907e61	9a5d4ea665907e61	44781d4e69bf6a1a	44781d4e69bf6a1a	44781d4e69bf6a1a	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q02-r06	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	58bb119c35513a451d24dc20ef0e9031ec85b35bfc919d263e7e5d9868909cb5	cb1ad2119d8fafb69566510ee712661f9f14b83385006ef92aec47f523a38358	b88ac98ce2e6a7f10f6a8372829d8d910344b4685d11e9a66f0cb4d971c70fc9	2	3	complete	complete	byte8	10	10	10	1	1	1	1	1	0	0	0	0	0	0	1	1	1	16247dfea4d1e925	16247dfea4d1e925	8dc9ad53661b3e08	8dc9ad53661b3e08	8dc9ad53661b3e08	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q02-r07	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	58bb119c35513a451d24dc20ef0e9031ec85b35bfc919d263e7e5d9868909cb5	d5ced0c0b64bf1582582acb55425f70c12991c397368a8bbad06bb0a5d2cfeb7	30bbb24f836709f9690eb16d197c406fee599876c6a0bbef5b015c562618a080	2	3	complete	complete	byte8	10	10	10	1	1	1	1	1	0	0	0	0	0	0	1	1	1	16247dfea4d1e925	16247dfea4d1e925	8dc9ad53661b3e08	8dc9ad53661b3e08	8dc9ad53661b3e08	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q02-r08	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	58bb119c35513a451d24dc20ef0e9031ec85b35bfc919d263e7e5d9868909cb5	b32062bf7b8bed45bc6c7bedfe1c093bf2d45c0b87973bab9e1ef4b85497f469	e3d59a0b4af4dbc44d5db0266a0d4cf804e8838776bb95ddf4ddb985996f1a4d	2	3	complete	complete	byte8	5	5	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	812e4eeda7d68605	812e4eeda7d68605	8a1591774f5fc227	8a1591774f5fc227	8a1591774f5fc227	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q02-r09	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	58bb119c35513a451d24dc20ef0e9031ec85b35bfc919d263e7e5d9868909cb5	2dde6d03ddaa287e3ac95b4befe8f38e8766a35092fc01e47e28d86c7a29e412	985666ea1a0c0ae2fffc9354a5c9902834e978e11d6d09f9425d0aa4740fcbf3	2	3	complete	complete	byte8	5	5	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	812e4eeda7d68605	812e4eeda7d68605	8a1591774f5fc227	8a1591774f5fc227	8a1591774f5fc227	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q02-r10	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	58bb119c35513a451d24dc20ef0e9031ec85b35bfc919d263e7e5d9868909cb5	084696b5b2f035fe1cafbccda422b6aa15b40d1d73bc98d7782beb4d83a5bc7f	9bee6df70f7770c1b5261cf54e6373b2b3162011acceb93684e6af4ffdb1af90	2	3	complete	complete	byte8	10	10	10	2	2	2	1	1	0	0	0	0	0	0	1	1	1	c1f78b1c946bb40f	c1f78b1c946bb40f	9ce1eff78e85212b	9ce1eff78e85212b	9ce1eff78e85212b	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q02-r11	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	58bb119c35513a451d24dc20ef0e9031ec85b35bfc919d263e7e5d9868909cb5	803859f5b9d6d170d5714b2d798c8bf5fbc9bd1806f6c108ed02adc6e6116004	153d5136d2a1e5edc036b0c589057921ee11a8287cfc29d743f54d18a6da34b6	2	3	complete	complete	byte8	5	5	5	1	1	1	0	0	0	0	0	0	0	0	1	1	1	41281cdda7121d00	41281cdda7121d00	eabc0c2fac53c886	eabc0c2fac53c886	eabc0c2fac53c886	0	0	L3_exact
