replicate	E1	E2	E3	E4
330	-3.4909464948357227e-05	0	0.014098870523008783	0.19210449586288561
331	-3.3487291169576053e-05	0	0.021084488630583511	0.20293184201046607
332	0	0	0.0032141193375610248	-0.10513677819434834
333	-0.00014108590193271376	0	0.010486490574730323	0.21987941161150645
334	0	0	0.0036024233181693481	-0.017027925271366866
335	-0.00010910709687920739	0	0.022274384261138633	0.17290116668039421
336	-1.8683394316093561e-05	0	0.028399903135197569	0.33867305981529416
337	0	0	0.016450125931186763	0.22587995615870898
338	-0.00013950471607557523	0	0.024496106651461933	0.08562827632428742
339	-0.00015105517367241527	0	0.027022385574581399	0.18896445119065791
340	-8.9537212977508493e-05	0	0.022551771019764376	0.1963473682431835
341	-6.5707377319904054e-05	0	0.017899125422445622	0.041965978739782528
342	-8.6359548842074305e-05	0	0.023378240095844532	0.27337536276026364
343	0	0	0.017978369258205333	0.09379559146636314
344	0	0	0.020878721234494545	0.085992673754272594
345	-6.007918016803782e-07	0	0.023785820482927149	0.26755457573644731
346	0	0	0.01130494550624779	0.28097342115269336
347	0	0	0.028749863173455938	0.25406902433867534
348	0	0	0.016512655544532732	0.20661149144515586
349	-1.1779390795385592e-06	0	0.026402631399281246	0.18731099142376975
350	-1.8231173149058089e-05	0	0.019813467577466538	0.12259704145431241
351	0	0	0.025451348170207368	0.15140360139195883
352	-0.00011121635985718026	0	0.028936819045555472	-0.0094663830399079885
353	-8.1334614857320187e-05	0	0.021313003810839504	0.025835767456836772
354	-8.0732941027872323e-05	0	0.025343320227281391	0.37345201546317364
355	-0.0001480953363259957	0	0.029142302609752719	0.38750585357712536
356	0	0	0.028721986377327584	0.41713950279516876
357	0	0	0.024297844303788639	0.13788401378870696
358	-5.0091835031018665e-07	0	0.026049007755633791	0.17753031232998975
359	-0.00011283508979906821	0	0.023195972742983319	0.40149345975895112
360	-4.6138585035659929e-05	0	0.025584828369140035	0.3776033608217666
361	-7.2841723033451039e-05	0	0.026436064440369157	0.28703038227176003
362	-4.4938324129967233e-05	0	0.024728877138501252	0.19696486489603307
363	0	0	0.013632183742691326	0.11686386063093437
364	0	0	0.029285574967860967	0.46408566931435785
365	-0.00012628381315225591	0	0.029106720696313038	0.11260068548135091
366	0	0	0.01897545465962041	0.048373654981777418
367	-0.00012186850883355027	0	0.023898340336698021	0.18361696520517365
368	-8.0814221396463543e-05	0	0.021753906340990069	0.16033865008785164
369	-7.3736525199180614e-05	0	0.017096876461034752	0.19686256536859909
370	0	0	0.013441782163813471	0.11142457955394665
371	-2.0361886192643563e-05	0	0.022754435334242557	0.19791497696125784
372	-5.8562137774664789e-07	0	0.020622691546038179	-0.15872442499526768
373	-0.00039155624525174794	0	0.02781794674289036	0.16757359971758429
374	-0.00011936127708651046	0	0.02749879610560229	0.21131797999543606
375	-0.00014801792681638505	0	0.020182764696629656	0.12609539288933683
376	-4.638263616508209e-05	0	0.027266013057941962	0.32844896364758658
377	-0.00015701332907277487	0	0.019823877931650379	0.26844386411179377
378	0	0	0.011424076757587404	0.060300684070812759
379	0	0	0.012521318543677856	0.17599176052535298
380	-4.3941721925477852e-05	0	0.026208107684290653	0.013932654318698084
381	-4.4003690590999065e-05	0	0.016818210224526169	0.17783498912673973
382	-2.5129049346706012e-05	0	0.020574407399205012	0.2418508963325201
383	-2.7798958755598235e-05	0	0.018077386839323591	0.063315099221352381
384	-1.5532413127328225e-05	0	0.023231813464987254	0.18034496512443629
385	0	0	0.0091174416023834075	0.097822046841256671
386	0	0	0.013761937187560552	0.13859658634026981
387	-9.2447410819668233e-05	0	0.023429118506966919	0.39233074257172218
388	-0.00011528259830106968	0	0.02939440988468911	0.17521972313712247
389	-4.5267493539974391e-05	0	0.013543011905094238	-0.010939850149714403
390	-0.00011134570169737956	0	0.016673331245896105	0.18605842387014851
391	-9.2329331839358092e-05	0	0.023349410757655065	0.2842215901944124
392	0	0	0.014400531212777901	0.14934209480167229
393	0	0	0.0088581386223619187	0.10289648790303749
394	0	0	0.0086243685804258813	0.018475842524298753
395	0	0	0.025806340760005386	0.26372287021169627
396	-2.2409162828596064e-05	0	0.021771715836884871	0.29996999625311305
397	-7.2462002196227451e-05	0	0.018797900877717391	0.25435066601088246
398	-1.8880783487512653e-05	0	0.025059696812474101	0.26749576008951104
399	0	0	0.018400540424364918	0.22301993299767151
400	-1.439727114552758e-05	0	0.02168997553337252	0.25015727037224061
401	-2.3427378223511709e-05	0	0.016234443831796799	0.11882585314963441
402	-9.7603953701955184e-05	0	0.01721539804590945	0.10425520792816631
403	-5.0666658492304337e-05	0	0.0088681527788011579	0.0003991480330464814
404	-5.7505347104852557e-05	0	0.019877975798552446	0.020374277894262337
405	0	0	0.016126041134873228	0.15994896888719995
406	-5.7924159934097388e-05	0	0.021219044571230326	0.33652776883006491
407	-0.00014892476058392946	0	0.030261560762569972	0.40634494444350261
