validation_instance_id	repeat_id	primary_instance	workload_id	ranking_mode	mode_classifications	detail_kind	authority_index	candidate_index	authority_rank	candidate_rank	authority_site_digest	candidate_site_digest	target_overlap	query_representative_overlap	query_cluster_overlap	ungapped_tfo_equal	ungapped_tts_equal	target_endpoint_l1	query_endpoint_l1	cluster_center_distance	query_endpoint_shift	target_endpoint_shift	cluster_geometry_shift	rank_displacement	score_delta_candidate_minus_authority	nt_delta_candidate_minus_authority	stability_delta_candidate_minus_authority	strict_row_equal
bts3_w003__repeat00	0	1	bts3_w003	nt	same candidate site endpoint shift	matched	2	2	3	3	fdf044a5cf6ed2075e8cfa8bda0a67125829c22db4142cf477e4052ffb492849	fdf044a5cf6ed2075e8cfa8bda0a67125829c22db4142cf477e4052ffb492849	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w003__repeat00	0	1	bts3_w003	nt	same candidate site endpoint shift	matched	3	3	4	4	0a92b7272562c70e2492e419034268659ce0dcd05feb87e8731132bc3ce4e0b0	0a92b7272562c70e2492e419034268659ce0dcd05feb87e8731132bc3ce4e0b0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w003__repeat00	0	1	bts3_w003	nt	same candidate site endpoint shift	matched	4	4	5	5	df4935d2dd716e83fe08af4a64ffc313bdfaabe9f48e38fb542d9089948cd79c	df4935d2dd716e83fe08af4a64ffc313bdfaabe9f48e38fb542d9089948cd79c	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w004__repeat00	0	1	bts3_w004	score		matched	0	0	1	1	c3ef6cb095c97753a4637a3c55ccefdd4bacbaf941d47ac5d3d27a71634d00db	c3ef6cb095c97753a4637a3c55ccefdd4bacbaf941d47ac5d3d27a71634d00db	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w004__repeat00	0	1	bts3_w004	score		matched	1	1	2	2	c472ac1195a02ab9c9282ecf12c8647df0066a45640c428d282a3cfb413f8104	c472ac1195a02ab9c9282ecf12c8647df0066a45640c428d282a3cfb413f8104	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w004__repeat00	0	1	bts3_w004	score		matched	2	2	3	3	ac5557edd3437f06a2ef2c094a0838633d6519ea80eed45ab7bc5769b800b625	ac5557edd3437f06a2ef2c094a0838633d6519ea80eed45ab7bc5769b800b625	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w004__repeat00	0	1	bts3_w004	score		matched	3	3	4	4	2bf3e3e5e08bd93b4db082d1de744a961cfc23b6f6ddbb2448be19cab858dcdc	2bf3e3e5e08bd93b4db082d1de744a961cfc23b6f6ddbb2448be19cab858dcdc	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w004__repeat00	0	1	bts3_w004	score		matched	4	4	5	5	9cf44bc74b9cfb08eb0ce1f1401d821bb90ab81de5917fda1fc2a8974f39336a	9cf44bc74b9cfb08eb0ce1f1401d821bb90ab81de5917fda1fc2a8974f39336a	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w004__repeat00	0	1	bts3_w004	stability		matched	0	0	1	1	7f67757a5ccf431ba49acc999216bbb8a89498a30f28d85bc1cef7f524feb2b7	7f67757a5ccf431ba49acc999216bbb8a89498a30f28d85bc1cef7f524feb2b7	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w004__repeat00	0	1	bts3_w004	stability		matched	1	1	2	2	76fa46055ab55ddf88d9307d0467e24622899530cf6f3fbbf83324df2c289db0	76fa46055ab55ddf88d9307d0467e24622899530cf6f3fbbf83324df2c289db0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w004__repeat00	0	1	bts3_w004	stability		matched	2	2	3	3	c2cf665eaf5336bdecc0b70f0b46ff92f84286a76548941b6984f86d54c3c4d2	c2cf665eaf5336bdecc0b70f0b46ff92f84286a76548941b6984f86d54c3c4d2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w004__repeat00	0	1	bts3_w004	stability		matched	3	3	4	4	ac5557edd3437f06a2ef2c094a0838633d6519ea80eed45ab7bc5769b800b625	ac5557edd3437f06a2ef2c094a0838633d6519ea80eed45ab7bc5769b800b625	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w004__repeat00	0	1	bts3_w004	stability		matched	4	4	5	5	d56f198c5f1182ddc0aeac3c1ebce5dd96018b4273bec9308c36428af216a8cd	d56f198c5f1182ddc0aeac3c1ebce5dd96018b4273bec9308c36428af216a8cd	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w004__repeat00	0	1	bts3_w004	nt		matched	0	0	1	1	c472ac1195a02ab9c9282ecf12c8647df0066a45640c428d282a3cfb413f8104	c472ac1195a02ab9c9282ecf12c8647df0066a45640c428d282a3cfb413f8104	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w004__repeat00	0	1	bts3_w004	nt		matched	1	1	2	2	c3ef6cb095c97753a4637a3c55ccefdd4bacbaf941d47ac5d3d27a71634d00db	c3ef6cb095c97753a4637a3c55ccefdd4bacbaf941d47ac5d3d27a71634d00db	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w004__repeat00	0	1	bts3_w004	nt		matched	2	2	3	3	2bf3e3e5e08bd93b4db082d1de744a961cfc23b6f6ddbb2448be19cab858dcdc	2bf3e3e5e08bd93b4db082d1de744a961cfc23b6f6ddbb2448be19cab858dcdc	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w004__repeat00	0	1	bts3_w004	nt		matched	3	3	4	4	05c5171d89f0c15bb3ec4c853d45f00ab2bf6273ce2aeabf473f02a8c1b2cb55	05c5171d89f0c15bb3ec4c853d45f00ab2bf6273ce2aeabf473f02a8c1b2cb55	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w004__repeat00	0	1	bts3_w004	nt		matched	4	4	5	5	07afe6bfb370869c73d0cb3675cc6962de158b6f3e0d110140d56f72d58ec754	07afe6bfb370869c73d0cb3675cc6962de158b6f3e0d110140d56f72d58ec754	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w005__repeat00	0	1	bts3_w005	score		matched	0	0	1	1	a57aaed363256b453bd1af3210570a36bed359544a0d58fb54d9a59315cf7485	a57aaed363256b453bd1af3210570a36bed359544a0d58fb54d9a59315cf7485	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w005__repeat00	0	1	bts3_w005	score		matched	1	1	2	2	7ffe77b5b20a07cab0d1210a40d848abd18468c43ecbd3a6778f130afc3f9b4c	7ffe77b5b20a07cab0d1210a40d848abd18468c43ecbd3a6778f130afc3f9b4c	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
