failure_id	validation_instance_id	workload_id	repeat_id	primary_instance	attempt_id	arm	failure_class	failure_reason	missing_output	input_identity_mismatch	ambiguous_matching	unexpected_fallback	retained_in_binary_denominator	replacement_or_retry_used	evidence_role
failure_054	r1_bt3_w106__repeat00	bt3_w106	0	1	r1_bt3_w106__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_055	r1_bt3_w106__repeat00	bt3_w106	0	1	r1_bt3_w106__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_056	r1_bt3_w107__repeat00	bt3_w107	0	1	r1_bt3_w107__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_057	r1_bt3_w107__repeat00	bt3_w107	0	1	r1_bt3_w107__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_058	r1_bt3_w108__repeat00	bt3_w108	0	1	r1_bt3_w108__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_059	r1_bt3_w108__repeat00	bt3_w108	0	1	r1_bt3_w108__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_060	r1_bt3_w109__repeat00	bt3_w109	0	1	r1_bt3_w109__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_061	r1_bt3_w109__repeat00	bt3_w109	0	1	r1_bt3_w109__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_062	r1_bt3_w110__repeat00	bt3_w110	0	1	r1_bt3_w110__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_063	r1_bt3_w110__repeat00	bt3_w110	0	1	r1_bt3_w110__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_064	r1_bt3_w111__repeat00	bt3_w111	0	1	r1_bt3_w111__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_065	r1_bt3_w111__repeat00	bt3_w111	0	1	r1_bt3_w111__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_066	r1_bt3_w112__repeat00	bt3_w112	0	1	r1_bt3_w112__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
