grid_shift	run	wall_seconds	column_pruned_enabled	exact_batches	exact_tasks	exact_cells	compact_batches	column_wall_seconds	column_kernel_seconds	column_h2d_seconds	column_d2h_seconds	compact_wall_seconds	compact_kernel_seconds	compact_h2d_seconds	compact_d2h_seconds	fallbacks
256	run_28	74.856352	0	94	384816	1924080000	0	7.52842	4.50208	0.191469	0.7563	0.0	0.0	0.0	0.0	0
256	run_29	88.324726	0	94	384816	1924080000	0	7.52892	4.48394	0.192095	0.776055	0.0	0.0	0.0	0.0	0
256	run_3	75.676166	0	94	384816	1924080000	0	7.51359	4.46736	0.191138	0.761912	0.0	0.0	0.0	0.0	0
256	run_30	88.086077	0	94	384816	1924080000	0	7.4447	4.43324	0.191634	0.749347	0.0	0.0	0.0	0.0	0
256	run_31	81.527837	0	94	384816	1924080000	0	7.50009	4.47989	0.190789	0.752977	0.0	0.0	0.0	0.0	0
256	run_32	70.193381	0	94	384816	1924080000	0	7.48203	4.46452	0.190729	0.753299	0.0	0.0	0.0	0.0	0
256	run_33	60.149373	0	94	384816	1924080000	0	7.58687	4.5498	0.192491	0.772942	0.0	0.0	0.0	0.0	0
256	run_34	66.895044	0	94	384816	1924080000	0	7.6345	4.59203	0.192812	0.77121	0.0	0.0	0.0	0.0	0
256	run_35	66.655638	0	94	384816	1924080000	0	7.53051	4.49423	0.19269	0.770833	0.0	0.0	0.0	0.0	0
256	run_36	71.777106	0	94	384816	1924080000	0	7.54285	4.50348	0.191889	0.772391	0.0	0.0	0.0	0.0	0
256	run_37	61.783087	0	94	384816	1924080000	0	7.55718	4.52499	0.192903	0.765623	0.0	0.0	0.0	0.0	0
256	run_38	61.768989	0	94	384816	1924080000	0	7.61108	4.57151	0.191822	0.770575	0.0	0.0	0.0	0.0	0
256	run_39	72.03641	0	94	384816	1924080000	0	7.56049	4.54366	0.190665	0.753298	0.0	0.0	0.0	0.0	0
256	run_4	77.573714	0	94	384816	1924080000	0	7.45052	4.41331	0.19085	0.746848	0.0	0.0	0.0	0.0	0
256	run_40	64.145435	0	94	384816	1924080000	0	7.51875	4.50017	0.19054	0.756933	0.0	0.0	0.0	0.0	0
256	run_41	63.389173	0	94	384816	1924080000	0	7.51974	4.49527	0.19125	0.75792	0.0	0.0	0.0	0.0	0
256	run_42	61.566543	0	94	384816	1924080000	0	7.47865	4.44913	0.191452	0.757051	0.0	0.0	0.0	0.0	0
256	run_43	50.198422	0	94	384816	1924080000	0	7.50556	4.48931	0.19189	0.749371	0.0	0.0	0.0	0.0	0
256	run_44	66.944154	0	94	384816	1924080000	0	7.57935	4.53998	0.191408	0.755782	0.0	0.0	0.0	0.0	0
256	run_45	65.487017	0	94	384816	1924080000	0	7.59878	4.56668	0.191605	0.755719	0.0	0.0	0.0	0.0	0
256	run_46	70.80203	0	94	384816	1924080000	0	7.54317	4.51256	0.191729	0.751727	0.0	0.0	0.0	0.0	0
256	run_47	66.999412	0	94	384816	1924080000	0	7.55877	4.50194	0.19197	0.774148	0.0	0.0	0.0	0.0	0
